idx,class,conversation
568,일반 대화,오늘 등산 같이 가실?\n 키키 등산? 싫어...\n 비 와서 안 갈래...\n 아니지!\n 비 오는 날은 역시 등산이지\n 비 등산이 좋아?\n 지금 거절하는 거임?\n 그치...\n 미안해 ㅠㅠ\n 오늘은 봐주라…\n 비 등산 엄청 좋지 토독 토독\n 키키 그러기엔 많이 오지 않나?\n 같이 가자...\n 낭만\n 키키 이건 낭만을 넘어섰다\n 아냐\n 지금이 딱 좋아\n 아 그래?\n 흠 믿고 가봐?
569,일반 대화,"오늘 날씨 지리네여\n 좋은가여? 실내에 있어서...\n 이런 날씨에 아무 데도 안 가다니 ㅜㅜ\n 낚시 하기 좋은 날씨여 키키\n 하... 날씨 맑은 날 낚시대 걸어 놓고 고기 꾸어 먹으면\n 부럽다 낚시는 진쨔루 월척하쇼? [이모티콘]\n 오늘 마침 물떼가 좋대\n 제 맛인데... 낚시는 고기 꾸버 먹으러 가야 해\n 우와, 가을엔 갈치 낚으려나? 키키\n 키키 고기 구울 시간 없어 *\n 지금은 오징어 철이지!\n 아마 배 타고 가야 할걸? 잡힐라낭\n 낚시에  빠지면 밥 먹는 시간도 아까움 키키\n 갑오징어들이 날뛰어 찰박 찰박\n 우와 잡아서 먹으면 더 맛있을 듯\n 남편이랑 말 한마디 안 나눈다궁 키키\n 헐 우리 남편하고 연애 시절에 낚시 가면 맨날 고기 꾸어 먹었는데\n 오후에 가?\n 엉 오후에 가 당근\n 그냥 낚시 갈래? = 밖에서 고기 구어 먹고 오자 이거임\n 다덜 추억 소환이닷 키키\n 키키 고기 맛있겠당 덜덜\n 거기다 남편 ㅇㄴ 소주 먹고 차박 하기\n 밤 낚시까지 하는 거양? 하하"
570,일반 대화,"운동 잘 하는 것도 타고나는 걸까요?\n 운동센스라는게 있다고 하더라고요 타고나는 것 같아요\n 저는 타고 난다고 생각합니다.\n 유연해지고 싶은데 어떤 운동을 해 볼까요?\n 발레를 추천합니다.\n 필라테스, 요가요\n 그 운동을 추천하는 이유는 무엇인가요?\n 손녀가 배웠는데 많이 유연하더라고요.\n 요가는 하면 할수록 유연해지고 필라테스는 속근육을 강화시키면서 유연해져요\n 몸이 정말 뻣뻣한데 어느 정도 해야 할까요?\n 꼭 유연해지셔야 하는 이유가 있나요?\n 너무 많은 걸 바라지마요"
571,일반 대화,어제는 에그드랍가서 사먹긴했어요\n 에그드랍은 15천인가 사야해서  두어번먹어봤는데 전 이삭이 더 맛있어요\n 마자요 그래도 5천원 할인하더라구요 드셔보셨어요?\n 기본이랑 베이컨? 가격대비 넘한거같아요\n 너무 비싸서 그냥 에그로만 먹다가15000원주문이라 데리야끼불고기먹었어요\n 맛있겠어요~ 고기는 언제먹어도 맛있죠^^\n 이삭이 더 맛있는거같아요. 5900원이던데 고기들어갔으니 그려려니\n 가격대비 이삭이 짱이죠~ 양배추들고~\n 마자요 에그드랍은 그냥 계란이랑 치즈랑 고기만 있어서 신선함 맛은 없더라구요\n 불갈비좋아해요.\n 근데 요즘 토스트만먹음 체한듯해서 한달넘게 안먹고있어요\n 전 그냥 스페셜토스트가 짱인듯해요. 햄치즈에 샐러드 들어간거\n 저도요. 두개만 돌아가며 먹거든요\n 아님 신랑이랑 반씩~\n 이삭 토스트에 들어가는 소스를 팔면 집에서 해먹어도 될거같은데 안팔죠?\n 파는거같아요.\n 인터넷뒤지면 비슷한거 팔듯은한데 굳이 집에서 만들고싶진않아요~ 귀찮~\n 블로그에 이삭토스트 소스만드는법도 보긴했는데 왠지 그맛이 안날거같아요\n 사먹어야 그맛~\n 집에서 아무리잘해도 그맛은 못낼듯해요\n 사먹는게 젤 맛있긴해요.
572,일반 대화,나 내일 파주 여행감 하하\n 파주 어디 놀러가?\n 그 마장 호수라고 들어봤어?\n 삭제된 메시지입니다.\n 아니! 처음 들어봐\n 그 흔들 다리 같은 거 있고 뷰 좋은 호수라고 하더라고 하하\n 오 여자친구랑 가는거야?\n 응응 하하 다른커플하고 넷이 가!\n 오 커플여행 좋겠다!\n 가서 맛있는 거 먹고 놀다 와야지 키키\n 내 몫까지 재밌게 놀다와!\n 하하 오케이 갔다 와서 썰 풀어줄게!\n 그래 여행가서 많이 먹고 많이 쉬다가 와!
573,일반 대화,얘들아 축구 중앙 수비수가 센터백이야?\n 응! 중앙 수비수가 센터백!\n 응응 그치 키키\n 근데 갑자기 왜 물어봐?\n 나 칼럼 검수하는데 축구 꺼...보고 있는데 용어 하나도 모르겠어...\n 빌드업은 또 뭐야...하\n 키키 **이 고생하네 ...용어 어렵지 ㅠㅠ\n **한테 많이 물어봐\n 내 꺼는 괜찮았어?\n 웅웅 괜찮았디\n 아 너 시간 언제쯤 괜찮아?!\n 아 이번에 빠지 놀러 갔어야 됐는데 못 갔네 ㅠㅠ\n 나 음 이번 주 주말에는 괜찮을 거 같은데 빠지 나도 못 갔다\n 이번 여름에 공부한다고 아예 못 놀러 갔어 ㅠㅜ\n 헐 여름 휴가도? 우린 멀리 갔다온 것 같은데...바다로... 어디였찌...\n 하 근데 얘들아 스포츠는 머가 젤 재밌닝\n 헐 ㅠㅠ 스포츠 테니스 진짜 해보고 싶어 ㅠㅠ\n 나는 그래도 아직까지는 축구가 제일 재밌는 거 같아 키키\n 나랑 테니스 배워 보장\n 키키 테니스 진짜 취미로 같이 고고!\n 키키 오 골프 잘 치면 테니스도 잘 치나\n 배드민턴이랑 비슷한 거 아니양?\n 키키 완젼 다르던데 쳐봤는데 되게 어렵더라\n 그래? 치는 거 몇 번 본 적은 있는데...
574,일반 대화,월요일만 되면 왜 이렇게 사람이 많지\n 다들 월요일은 부지런을 떨어서 그럴듯\n 형부 출근 몇시예요?\n 난 8시까지야 평소는 한가한데\n 월요일에는 다들 빨리들 움직이는듯\n 아마 회의도 많고 할거니깐\n 그래서 지하철이고 뭐고 휴 힘들어\n 여보는 몇번 갈아타야해?\n 월요일은 차도 많이 막혀요\n 난 2번 갈아타고 가지\n 에고 아침마다 고생이네\n 그래도 지하철이 승용차보단 나아요 분명
575,일반 대화,"오빠는 지하철 타본 적 있어?\n 나 예전에 많이 타고 다녔지 키키\n ㅋ오 오빠도 수도권에서 살아봤음?\n 야 나 시골에서 안 살아 키키\n 키키 오~ 아 맞다\n 오빠 지금 대전에 살고 있지?\n 응 지금은 대전 키키 여기도 지하철 있어\n 키키 맞아\n 근데 거기 1호선? 밖에 없지?\n 응 여기 한줄이긴 한데 키키 그래도 있긴 해\n 키키 근데 그게 있는 게 어디여~ 그치?\n 맞아\n 없는 곳들도 얼마나 많은데 키키\n 키키 맞아\n 예를 들면 논산 같은 곳 말이쥐~\n 맞아\n 근데 여긴 없어도 다 쉽게 다녀 키키\n 키키 맞아\n 서울은, 뭐, 그냥 다 뚫려 있다고 보면 되지\n 맞아\n 서울하고 비교하면 여기는 천국이야 키키\n 키키 아 인정 오늘도 나는 지옥을 맛 봤다,\n 그럼 지옥철 장난 없지 키키"
576,일반 대화,와디즈를 끊을 수가 없어서 너무 고통이야 ㅇㅅㅇ\n 니 키키 펀딩 좀 그만해라 오지게 사지 않았냐\n 아니이 근데 좋은 제품을 펀딩으로 사면 저렴하단 말이양 키키\n 글킨한데 나는 뭔가 바로 배송 오는 게 아니라서 좀 그릏더라 키키 검증된 제품도 아니고\n 그냥 나도 체험단 리뷰나 그런 거 보고 거르긴 하지 키키 근데 성공한 게 훨씬 많지롱!\n 호오 하긴 니 들고 다니는 거 보면 막 신기한 거 많드라\n 웅 그런 것들 나중에 정식 출시되면 막 2~3만원은 비싸게 판다구 ㅇㅅㅇ 히히\n 오옷 그건 조금 솔깃한데? 펀딩 하는 거 중에 괜찮은 제품 있능갸!\n 저번에 너 응구 선물로 장난감 줬잖아 그거도 펀딩으로 산겨 키키\n 오 반려동물 용품도 파는구나 그럼 나는 두식이 배변 패드 같은 거 사볼꽝\n 웅웅 배변 패드도 많이 팔아! 사료도 팔고 반려동물 영양제도 팔고 키키\n 좋네 나는 보통 쿠팡으로만 샀는디 키키\n 응 단점은 실패할 확률이 있다는 것과 배송이 늦다는 것... ^^\n 까먹을 때쯤 오는 건가 무슨 해외배송이누 키키\n 마졍 돈만 빠져나가고 잠깐 잊고 있으면 언젠간 온다... 키키\n 먹을 거 시켰다간 속 뒤집어지겠누 키키 걍 물건 같은 거만 사야긋네
577,일반 대화,가족과 함께 게임을 하는건 어떤거 같아?\n 가족끼리 게임 하면 시간 가는 줄 모르지\n 나는 가끔 티비에서 연애이들이 가족과 게임을 하면 너무 재밌어 보이더라.\n 예전에 치킨을 걸고 고스톱을 많이 했었어\n 그렇구나. 이제는 티비에 각종 게임기를 연결해서 다양하게 할 수 있다고 해.\n 요즘에는 닌텐도로 온 가족이 다 같이 스포츠게임을 하더라고\n 그거 정말 괜찮다. 정말 즐거울 거 같아.\n 같이 해 보면 생각보다 정말 웃긴 일도 많아\n 서로 이야기할 것도 많고 나중에 커다란 추억이 될거 같아.\n 설날에 윷놀이 하는 것도 재밌더라\n 그런데 윷놀이는 꼭 도박으로 빠지더라고.\n 가족끼리 하면 건전한 게임이지
578,일반 대화,혼수는 반반 하는 게 맞지?\n 남자가 집을 사오는 게 아니라 대출로 같이 갚아 나가는 거면 거의 반반 하지~\n 혼수 때문에 걱정이야ㅠㅠ\n 왜? 또 싸웠어?\n 아냐 키키 우린 뭐 맨날 싸우나 키키\n 키키 그럼 다행이네 왜 그러는데^^\n 나는 첫 시작이니까 혼수는 아주 비싼 건 아니라도 깔끔하고 구색 갖춘 걸로 하고 싶은데\n 응 그렇지\n 그렇게 품목별로 후보군을 뽑아 놓으니까 거의 집 한 채 값이야 ㅠㅠ 키키\n 과했네~돈 모을 생각도 해야지\n 그렇지...그런데 냉장고 세탁기 건조기 식기세척기만해도 이미 6~7백이 넘어...\n 걱정이네~~주말에 엄마랑 다시 돌아다녀보자^^
579,일반 대화,"언니 최애 떡볶이 어디 꺼야? 하하\n 나는 엽떡 조아해\n 아니면 시장 떡볶이?\n 헐 엽떡에 허니 콤보 그 조합 알지? ㅠㅠ\n 알징 근데 다 같이 먹어야 맛있더라구 키키\n 맞아 그거 양 진짜 많아 ㅠㅠ\n 양 많아서 혼자는 무리야 너무 배불러...\n 맞아 ㅠㅠ 그래서 대학 다닐 때 5명이서 나눠 먹었어 키키\n 5명은 좀 많지 않아?키키\n 막 김밥도 시키고 이러니깐 키키 딱이야\n 주먹밥? 주먹밥 말하는 건가 하하\n 주먹 김밥 키키 그거 존맛탱 진짜\n 떡볶이 국물에 콕\n 맞아 뭐든 그래야 맛있엉 키키\n 갑자기 허니콤보 얘기하니까 먹고 싶네\n 그치, 야식 메뉴 무적권 치킨에 떡볶이야\n 어제 야식으로 옛날 치킨에 닭발 먹음 하하\n 헐 키키 닭발도 좋아해?\n 나는 숯불에 구운 거 완전 사랑 ㅠㅠ\n 어제 숯불 닭발 먹었지롱 키키\n 너무 맵고 좋아"
580,일반 대화,오토바이는 어디서 고쳐야해?\n 오토바이 수리점이 있어 거기서 고쳐야되\n 기름값은 많이 들어?\n 오토바이는 많이 안들지 기름 많이 안먹거든\n 그렇구나 그런데 오토바이는 너무 위험한 것같아\n 그렇지 아무래도 보호해주는 장비가 헬멧 빼고는 없으니까\n 타게 되면 꼭 헬멧을 착용해\n 착용해야지 안하면 벌금내야되\n 정말? 몰랐네 나도 타게되면 꼭 착용해야겠다\n 응~ 동승자도 착용해야되
581,일반 대화,"애기 있는 집은 쿠팡 무조건 일껄?\n 쿠팡 왜\n 이유가 뭔데?\n 맞아요 그렇다데요?\n 쿠팡은 총알배송\n 쿠팡이 육아 도우미 라던데\n 우와 바로 배송되서 그런가?\n 육아 도우미 까지?\n 가격도 착한가요?\n 엉 분유랑 애기 용품 키키\n 나는 네이버 스마트 스토어를 주로써\n 헐 누나들도 담에 쿠팡 이용\n 그런거 무조건 필요하뎅\n 쿠팡 제씨는 중독됬더라 ...\n 헐 쿠팡은 근데 알고리즘? 쩌는거 같아요\n 키키 제씨는 주로 뭘사니?\n 맨날 쿠팡으로 뭘 그렇게 시키는지 ...\n 형은 뭘 사요?\n 족구용품?\n 진짜 알고리즘 개쩜...!\n 제씨는 족구화랑 족구장갑 이런거 ...ㅋ\n 진짜 쩐다 ㅎ,ㅎ\n 저도 생필품 사곤 해요"
582,일반 대화,너 어렸을때 땅따먹기 해봤어?\n 네이버 게임 말하는거야?\n 아니 운동장에 그려서 하는거\n 아니 안해봤어 난 집에서 컴퓨터 게임만 했거든\n 그렇구나 생각해보니까 컴퓨터 땅따먹기도 있네\n 실제로 하는 땅따먹기는 어떻게 하는거야?\n 숫자 써 놓고 돌멩이 던져서 하는거\n 아 그건 해봤지 그게 땅따먹기구나\n 나 요즘 그거 다시 하고 싶어서 자꾸 생각나\n 나도 그거 엄청 좋아했는데 나중에 애들이랑 놀이터가서 해보자
583,일반 대화,"우리나라 군이 국제평화유지활동에 참여하고 있다는 것 아실까요?\n 국제평화운동도 하나요?\n 들어 본 것 같아요\n UN임무단으로 레바논이나 수단, 예멘에 가서 활동하기도 하고\n 정말 군대는 대단한 기관입니다\n 많은 활동을 하는군요\n 다국적군 평화활동을 목적으로 부대 또는 개인이 소말리아나 플로리다에서 활동하고 있다고 해요.\n 다국적이라니 언어 공부를 해야겠어요\n 정말 대단하네요\n 국방협력을 위해 아부다비에 부대를 보내기도 하구요.\n 아부다비 가보고 싶네요\n 국제평화가 잘 이루어졌으면 좋겠어요"
584,일반 대화,추천해 줄만한 영화 있어?\n 음 이번에 베놈2 엄청 재밌다던데 봤어?\n 맞아 요즘 베놈 재밌다더라\n 아직 ㅜㅜ 나 1도 아직이야 키키\n 헐 아직 1편도 안 봤어?\n 얼른 한번 봐바 엄청 재밌어 키키\n 맞아 베놈 목소리 매력넘친다구\n 아 그래?\n 베놈 무슨 내용인데?\n 음 외계생명채랑 인간이랑 융합해서 나쁜들 막 무찌르는 내용이야 키키\n 살짝 뭐라해야할까 그림자랑 합체하는 느낌?\n 오 키키 흥미로워 키키\n 1부터 찾아봐야겠다\n 응응 꼭봐바 엄청 재밌더라고\n 너는 따로 추천 해줄만한 영화 있어?\n 나는 그거 재밌게봤는데 비긴어게인\n 키키 맞아 키키\n 난 최근에 어바웃타임 봤어\n 아 둘 다 안본거네 키키\n 둘 다 재밌어?\n 어바웃타임도 명작이지 꼭봐봐\n 키키 나 두번째야 키키 추천 인생 영화야\n 그럼 너희들은 무슨 장르 영화 좋아해?\n 나는 로맨스가 제일 좋더라
585,일반 대화,"병원에 입원 한 적 있어?\n 웅 나 예전에 식중독 걸렸잖아 키키\n 헐 뭐 먹고 걸린 거야?\n 사실 그걸 잘 모르겠어 ㅠㅠ\n 어느 날 아프더라...\n 에고 조심해야 해\n 여름에 그랬던 거야?\n 음... 가을이었던 거 같기도 하고...\n 이게 10년도 더 넘어서 기억이 안나 ㅠㅠ\n 식중독도 걸리면 위험하더라고 ㅠㅠ\n 이번 여름에 식중독 사고가 많더라\n 이번에 많았어?\n 나도 뉴스 좀 보고 살아야겠다 ㅠㅠ\n 응 김밥 집도 그렇고 뉴스 간간히 계속 보였어\n 김밥집? 김밥집에서 대체 어떻게 하면 식중독이 걸리는 거야?...\n 계란 때문에 그랬던 거 같아 듣기로는?\n 지금 계란 한판에 만원이던데,\n 재료 값 아끼다 그렇게 됐으려나 ㅠㅠ\n 그것도 있고 날 더웠던 게 한 몫 한 거 같아 ㅠ\n 에휴 계속 날은 더워질 텐데...\n 먹는 것도 조심히 해서 먹어야겠어 ㅠㅠ\n 그니깐 무서워 ㅠㅠ 괜히 탈 날까 봐\n 그니까 이제 먹는 것도 다 기록 해야되려나 봐 ㅠㅠ"
586,일반 대화,야 나 신혼여행 장소 정했어\n 어디?\n 몰 디 브!\n 오잉? 거긴 왜 ?\n 와 거기 유튜브에서 봤는데 키키 환상의 나라더라...\n 어떤점이?\n 완전 프라이빗하고! 휴양하기 딱 좋아! 보라카이의 100배급 느낌\n 헐 백배나? 키키  비행기로 얼마나 걸리는데?\n 그것까진 모르겠어 아마 멀껄?\n 아... 그럼 비행기 삯이 얼마인지도 모르겠네?\n 아마 백중반 일껄?!\n 오우... 비싸다 진짜 키키\n 숙박도 일박에 백넘엌 키키\n 헉... 키키 진짜 신혼여행이여야 갈 수 있는 곳이네\n 그니깐 그때 아님 평생 가기 힘든곳이야\n 뭔가 예약도 미리 해놔야할것같아\n 그니깐 ㅜㅜ 하아 가고싶다 ㅜㅜ찜꽁이야 진짜\n 날씨는 어떻데 ?\n 그것까진 모르겠지만 동남아 느낌일듯 키키\n 아하 키키  그래도 갈곳은 정해놨네
587,일반 대화,스파게티 주문 했는데 배가 너무 고프네요.\n 조금만 기다리세요. 금방 옵니다\n 너무 배가 고파 뭐라도 먹어야할 듯.\n 그럼 빵에 쨈 발라서 한쪽 드세요\n 그보다는 아침에 먹다 남은 된장찌개에 밥 한 술 해야겠어요.\n 맛이 진해져서 더 맛있을지도 모르겠네요\n 배가 고파서 그런지 된장찌개가  참 맛있네요.\n 그렇군요. 맛있었다니 다행이에요\n 어? 근데 먹자마자 스파게티가 곧 도착한다네요.\n 아이쿠 저런 좀만 기다렸으면 좋았겠네요\n 제가 원래 배고픈 걸 못 참아요.\n 그러시군요. 배고픈 거 참기가 쉽진 않죠
588,일반 대화,"너희는 결혼준비 몇개월 했어?\n 나는 8개월정도한것 같아\n 난 4개월 정도 걸린 것 같아\n **네는 진짜 빠르게 했다\n 신행이랑 식장만 잡고 나머지는 한달만에 한것 같아\n 우린 날 잡고 거의 한달만에 몰아서한 것 같아 키키\n 난 중간에 결혼식을 반년 미뤄서, 준비시간은 엄청 길었어\n 일하니까 계속 미루게되더라\n 아 코로나때문에 그렇지?\n 맞아 급하면 어차피 하게 되어 있거든\n **는 코로나때문에  그래도 꼼꼼히 준비 할수 있지 않았어?\n 미루는 게 근데 힘들었겠다\n 1년정도 준비시간이 있었는데 그 중 준비한건 3개월정도밖에 안한듯\n 식장이랑 신행만 잡아두면 나머지는 돈이 알아서 하더라구\n 하긴 돈만주면 다 돼"
589,일반 대화,12키로 짜리가 택배가 오든가베...\n 택배 기사님 엄청 빡쳤을 걸\n 택배 아저씨들 얼마나 욕했을까?\n 좀 죄송하다 키키 ㅠ\n 우리 엄마도 깜짝 놀랬다더라\n 별것도 아닌 박스가\n 뭔 돼지 뒷다리 같은 게 택배로 와 갖고 키키\n 이 무슨 일이고 하면서 키키\n 그러니까 키키 그게 또 포대 안에 들어있었거든\n 키키 돼지 뒷다리 왔다 하시드나 키키\n 엄마가 심장이 철렁하더라대 키키\n 키키 엄마 왜케 웃김 키키\n 그러니까 키키 무서워서 포대 뜯도 안하고 마루에 놔뒀던데
590,일반 대화,회사에 별 일 없지?\n 요즘 재택근무일이 줄었어\n 확진자 줄어서 그런가?\n 그래서 조금씩 제한 푸나봐\n 재택하는 건 좋았는데 아쉽네\n 그러니까 그냥 하던대로 하지\n 사실 재택해도 아무 문제 없는데\n 내말이 다 컴퓨터만 있음 되는데\n 살짝 일을 덜 하긴 해\n 맞아 집에 있으면 좀 그렇긴 하지
591,일반 대화,너는 연예인 중에 누굴 제일 좋아해?\n 나 아이유를 제일 좋아해!\n 오! 아이유 요즘 신곡도 내고 그러던데\n 맞아\n 그래서 너무 좋아 이쁘기도하고~\n 그렇지\n 나는 아이유 노래가 좋던데! 키키\n 맞아\n 노래도 좋고 얼굴도 이뻐 키키\n 너 아이유 노래 중에 뭐가 제일 좋아?\n 좋은날이 제일 좋은 거 같아 난!\n 그거 완전 옛날에 초딩 때 나온 거 아닌가? 키키\n 맞아\n 근데 요즘은 옛날 노래가 더 좋더라\n 그렇긴 하지\n 난 하루 끝 이 노래 좋아하는데!\n 맞아 ㅋㅋ\n 그 노래도 좋고 그냥 아이유라 다 좋은 거 같아\n 나는 아이유도 좋은데 펀치 좋아하거든\n 혹시 알아?~\n 응응 알지 거기 노래도 좋던데 키키\n 펀치 영화 속에 주인공처럼 이거 꼭 들어 봐 하하\n 오 그래?\n 한번 들어봐야겠다 키키
592,일반 대화,저 마지막주 검진은 남편이랑 가기로 했어요\n 그래 잘했어. 혼자 가는것보다 *서방이랑 같이 가면 든든하고 좋지.\n 아이들은 엄마가 봐줄께.\n 네 등원은 하고가고 한시반 진료니까 ** 하원은 빠듯할수도 있어서 미리 말씀드릴게요\n 그래 날짜만 알려줘~~.\n 엄마도 너 혼자도 잘 갔다오지만 *서방과 같이 갔다오면 마음이 한결 좋다.\n 10월 28일 목요일이예요\n 알았어. 아이들 걱정은 말고 *서방이랑 같이 잘 다녀오기로 잘 계획하고 준비해라.\n 네 **는 이제 소아과 출발하려구요\n 그래 잘 다녀와라.\n 진료 잘 받고 빨리 건강 해졌으면 좋겠다.\n 네 대기가 줄어 이제 3명 전이네요\n 그럼 **는 몇시에 하원하는데 ** 진료받고 나면 시간이 맞는거니?\n **는 5시20분쯤이요\n 소아과 갔다 약국 갔다 하면 대강 맞을것같아요\n 다행이다.진료 잘 받고 두 아들 잘 돌봐라.
593,일반 대화,계명포스 진짜 이상해\n 시스템이 좀 허접하더라\n 그것도 그렇고 아니 재고를 본사에서 발주량에 맞춰서 입력이 되어야지 키키\n 그래 현장에서 자기가 재고를 입력하는게 어디있노\n 그니까 좀 개발자가 멍청하다 해야하나 일머리가 엄청 없는듯...\n 그렇게 만드는게 어려운가\n 그거는 나도 모르겠지만 키키 이렇게 본인이 입력가능하면 사람들이 조작할수가 있잖아\n 조작해서 뭐하는데\n 뭐 물건이 20개들어왔는데 발주는 10개만 했어\n 그래도 10개 입력하고 20개 팔아버리면 모르잖아 키키\n 그건 그렇지\n 그러니까 재고 악용을 할수가 있는거지\n 그런일이 잘 없잖아
594,일반 대화,너희 오늘 저녁은 뭐 먹었오? 히히\n 난 짜파구리랑 이삭 토스트랑 멜론 빙수랑 청포도!\n 너희는?\n 나는 치킨! 족발! 아 맛도 없다<\n 너희 아주 오늘 밤 파티를 열었구나...?\n 난 카레랑 옆집이 준 겁나 많은 반찬들... ㅎ\n 너도 맛난 거 먹었넹!\n 수박 쥬스 먹고 팡\n 오 카레 먹고 싶다 내일은 카레 먹어볼까 ㅎ\n 카레 맛있또 히히\n 짜장면 먹고 싶따 난\n 짜장면도 맛있엉\n 난 케이크 같은 달달한 디저트류 먹고 싶엉\n 나는 부리또 먹고 싶다...\n 헐 부리또 ㅜ 나 진짜 못 먹어본 지 넘 오래 됐엉...\n 나 부리또 진짜 좋아행 맛있자낭\n 키키 학교에 부리또 맛집잇는데 ㅎ\n *** 한번 더 아산 고고?\n 아낰 키키 아산 고고 술 고고\n 키키 다른 부리또 맛집도 있니\n 난 부리또 대학가 주변에만 봤엉...\n 상현역에도 있는뎅\n 얘드라 나 회 먹으로 강\n 오 맛있겠다 신나겠네?
595,일반 대화,어제 꼬꼬무 재밌더랑 하하\n 어제 꺼 봤나... 꼬꼬무는 항상 재밌지\n 모가디슈 영화 한편 본 느낌 하하\n 마지막에 완전 소름이던데\n 모가디슈 영화를 엄청 잘 만든 거였어\n 마지막이 항상 소름이야...\n 완전 영화랑 거진 똑같았어\n 모가디슈 만들 때도 그분들 인터뷰 한 거 아님?\n 그니까 그거 토대로 한 듯 하하\n 그분들 말 토대로 만든 듯\n 난 엄청 무서웠을 거야 ㅠㅠ\n 아이고 거기 소년병들 넘 불쌍 하더라...
596,일반 대화,오늘 퇴근하고 아르바이트 가기로 했어\n 무슨 아르바이트 하는데?\n 동네 카페에서 2시간 아르바이트 하고 있어\n 좋다 나도 하고싶다 요즘 시간당 얼마 줘?\n 최저시급보다 조금 더 줘서 11000원 받고 있어\n 많이 주는거야 적게 주는거야? 잘 몰라서\n 많이 주는 편이지. 보통은 최저시급으로 주거나 만원이거든.\n 아르바이트 더 안구해? 나도 하고 싶다 같이 하면 좋잖아.\n 사장님한테 한번 물어볼께\n 그래 한번 물어봐 주라 사람 더 뽑았음 정말 좋겠다.
597,일반 대화,요즘은 제사를 간소화하는 것 같아\n 가족과 만남이 줄었으니까 제사도 못 지내지\n 우리는 어머님이 제사 정리해줘서 너무 감사해\n 며느리 눈치 보느라 제사를 못 지내는 건가?\n 제사 준비하면 돈도 많이 들어\n 시댁 가족간에 문제로 아예 정리하셨어\n 친정도 엄마 등살에 제사를 없앴어\n 제사가 가부장제의 신화인데 시어머니들이 더 하자고 하는 거야\n 요즘은 성묘 가서 한 번에 다 하더라고\n 우리 아빠만큼은 끝까지 제사를 고수할 줄 알았거든\n 세월이 많이 변했지 이제 아들만 중요한 시대도 지났고\n 시대 흐름에 따라 주시니 감사하네
598,일반 대화,와 비트코인 또 난리데\n 비트코인은 뭐 급행 열차여\n 비트코인에 돈 넣은 사람 있어?\n 중국에서 막았는데 왜 또 올라감\n 오르락 내리락 난리네\n 나는 쫄보라 그런 거 안 하는데 키키\n 난 코인은 안 해 ~\n 난 하다가 안해\n 근데 그런 가상 화폐 지금 쓰지도 못하는 게 왜 하는 겨\n *는 코인 했었어\n 키키 난 주식...\n 그대로 뒀더라면 지금 꽤나 쏘나타 한 대는 뽑을 돈 됐을텐데\n 정정당당한 노동으로 돈 벌어야지 키키\n 키키 그런 생각하면 패가망신 하는 거여 키키\n 괜히 그거 좀 올랐다고 팔아서 ㅠㅠ\n 하하 너무 많이 투자하진 맠 키키\n 집값이  너무 오르니까 사람들이 노동 보다 저런 걸 하는 듯\n 한탕 땡겨서 파이어족이 되어야 하는데\n 이미 너무 늦은 거 아냐 파이어족 키키
599,일반 대화,너 닌텐도 스위치 같이 할래?\n 하하 오 재밌겠다 좋지!\n 나 집에 스위치 있거든 키키\n 어떤 게임 같이 할 수 있어?\n 그거 티비로 연결해서 하면돼\n 그 닌텐도 티비에 연결 할 수 있나?\n 웅웅 칩은 따로 사야해서 업성 키키\n 진작에 안가져오고 뭐했어?\n 내꺼가 아니라 동생꺼거든!\n 하하 동생한테 빌려서 하면 되지!\n 키키 칩은 같이 사서 하자\n 게임 칩을 알아봐야 겠네 키키
600,일반 대화,모바일 게임 하나만 추천해 줘!\n 너 원래 게임 안 하잖아\n 응 그런데 갑자기 취미를 찾아볼까 해서.\n 혹시 리듬게임 좋아하니?\n 응 나 리듬게임 좋아하고 잘해\n 그러면 내가 하고 있는 게임 중에 앙상블스타즈!라는 게임이 있는데 한 번 해볼래?\n 그것도 리듬게임이야?\n 응 리듬게임이고 캐릭터도 다양해서 재미있게 즐길 수 있을 거야.\n 한번 설치해 보고 후기 말해줄게!\n 그래 네가 재미있어했으면 좋겠다.
601,일반 대화,우리 시어머님 건강이 더 안좋아지기는거 같아\n 어머...괜찮아 지신다며? 연세드셔서 더 그런가보다\n 응응 그런가봐. 그래서 지금 요양원 얘기 나와\n 아... 가족들이 모시기 힘드니까?\n 아무래도 다들 맞벌이해서 나가니 돌봐줄 사람도 없고\n 방문요양은 좀 힘드려나?\n 응응 온종일 케어해주는게 아니니까\n 자식들이 마음이 착찹하겠다\n 응응 나보다 남편이 더 그렇지 뭐\n 그렇겠다. 우리 부모님께 늦기전에 잘하자 진짜!
602,일반 대화,너희는 군 생활 중에 언제가 가장 기억이 남아?\n 나는 입대하자마자 혹한기 훈련 한 거\n 나는 공익근무라 기억이 없어\n 그래도 훈련소는 가봤잖아 나는 아직도 입대한 첫 날이 기억나\n 맞아 그 날 밤 진짜 끔찍했는데\n 나는 한 달만 있으면 다시 나가니까 별로 힘들지도 않더라\n 난 자고 일어나면 이게 꿈일지도 모른다고 생각했어\n 맞아 아니면 일어났더니 전역하는 날이라던가\n 훈련소 조교들은 어땠어?\n 엄청 걱정하고 들어갔는데 예상보다는 친절하더라\n 얼마나 안 좋게 생각하고 들어갔길래 그게 친절하다고 느껴?\n 그러게 우리도 엄청 굴렸는데
